,bef,aft,id_OTU
uniq1,OTU_bef1,OTU_aft1,True
uniq10,OTU_bef10,OTU_aft10,True
uniq100,OTU_bef77,OTU_aft73,True
uniq1000,OTU_bef3,OTU_aft3,True
uniq10000,OTU_bef4,OTU_aft4,True
uniq10001,OTU_bef4,OTU_aft4,True
uniq10002,OTU_bef4,OTU_aft4,True
uniq10003,OTU_bef16,OTU_aft16,True
uniq10004,OTU_bef55,OTU_aft53,True
uniq10005,OTU_bef114,OTU_aft103,True
uniq10006,OTU_bef55,OTU_aft53,True
uniq10007,OTU_bef2,OTU_aft2,True
uniq10008,OTU_bef565,,False
uniq10009,OTU_bef21,OTU_aft21,True
uniq1001,OTU_bef2,OTU_aft2,True
uniq10010,OTU_bef4,OTU_aft4,True
uniq10011,OTU_bef70,OTU_aft67,True
uniq10012,OTU_bef14,OTU_aft14,True
uniq10013,OTU_bef566,,False
uniq10014,OTU_bef67,OTU_aft64,True
uniq10015,OTU_bef4,OTU_aft4,True
uniq10016,OTU_bef81,OTU_aft76,True
uniq10017,OTU_bef15,OTU_aft15,True
uniq10018,OTU_bef65,OTU_aft62,True
uniq10019,OTU_bef76,,False
uniq1002,OTU_bef2,OTU_aft2,True
uniq10020,OTU_bef245,,False
uniq10021,OTU_bef19,OTU_aft19,True
uniq10022,OTU_bef55,OTU_aft53,True
uniq10023,OTU_bef422,,False
uniq10024,OTU_bef55,OTU_aft53,True
uniq10025,OTU_bef21,OTU_aft21,True
uniq10026,OTU_bef21,OTU_aft21,True
uniq10027,OTU_bef55,OTU_aft53,True
uniq10028,OTU_bef91,OTU_aft84,True
uniq10029,OTU_bef19,OTU_aft19,True
uniq1003,OTU_bef3,OTU_aft3,True
uniq10030,OTU_bef86,OTU_aft79,True
uniq10031,OTU_bef19,OTU_aft19,True
uniq10032,OTU_bef55,OTU_aft53,True
uniq10033,OTU_bef725,OTU_aft26,False
uniq10034,OTU_bef55,OTU_aft53,True
uniq10035,OTU_bef7,OTU_aft7,True
uniq10036,OTU_bef2,OTU_aft2,True
uniq10037,OTU_bef5,OTU_aft5,True
uniq10038,OTU_bef567,,False
uniq10039,OTU_bef318,,False
uniq1004,OTU_bef2,OTU_aft2,True
uniq10040,OTU_bef55,OTU_aft53,True
uniq10041,OTU_bef188,OTU_aft150,True
uniq10042,OTU_bef725,OTU_aft26,False
uniq10043,OTU_bef49,OTU_aft47,True
uniq10044,OTU_bef76,,False
uniq10045,OTU_bef72,OTU_aft69,True
uniq10046,OTU_bef55,OTU_aft53,True
uniq10047,OTU_bef5,OTU_aft5,True
uniq10048,OTU_bef5,OTU_aft5,True
uniq10049,OTU_bef26,OTU_aft26,True
uniq1005,OTU_bef1,OTU_aft1,True
uniq10050,OTU_bef568,,False
uniq10051,OTU_bef38,OTU_aft36,True
uniq10052,OTU_bef5,OTU_aft5,True
uniq10053,OTU_bef55,OTU_aft53,True
uniq10054,OTU_bef55,OTU_aft53,True
uniq10055,OTU_bef90,OTU_aft83,True
uniq10056,OTU_bef55,OTU_aft53,True
uniq10057,OTU_bef5,OTU_aft5,True
uniq10058,OTU_bef26,OTU_aft26,True
uniq10059,OTU_bef7,OTU_aft7,True
uniq1006,OTU_bef270,,False
uniq10060,OTU_bef38,OTU_aft36,True
uniq10061,OTU_bef55,OTU_aft53,True
uniq10062,OTU_bef55,OTU_aft53,True
uniq10063,OTU_bef81,OTU_aft76,True
uniq10064,OTU_bef569,,False
uniq10065,OTU_bef55,OTU_aft53,True
uniq10066,OTU_bef55,OTU_aft53,True
uniq10067,OTU_bef54,OTU_aft52,True
uniq10068,OTU_bef72,OTU_aft69,True
uniq10069,OTU_bef19,OTU_aft19,True
uniq1007,OTU_bef8,OTU_aft8,True
uniq10070,OTU_bef55,OTU_aft53,True
uniq10071,OTU_bef7,OTU_aft7,True
uniq10072,OTU_bef7,OTU_aft7,True
uniq10073,OTU_bef7,OTU_aft7,True
uniq10074,OTU_bef13,OTU_aft13,True
uniq10075,OTU_bef5,OTU_aft5,True
uniq10076,OTU_bef79,,False
