,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP4_tag11_A12,4136,619,619,5,618,4,619,618,0,5
RNBC1_QLMSP4_tag11_A2,1905,403,403,3,402,2,403,402,0,3
RNBC1_QLMSP4_tag11_A3,910,353,353,38,300,6,353,300,0,38
RNBC1_QLMSP4_tag11_A5,571,170,170,9,168,7,170,168,0,10
RNBC1_QLMSP4_tag11_A6,3177,319,319,4,314,2,319,314,0,4
RNBC1_QLMSP4_tag11_A7,189,24,24,8,18,6,24,18,0,9
RNBC1_QLMSP4_tag11_A8,811,121,121,15,110,11,121,110,0,16
RNBC1_QLMSP4_tag11_B10,6427,678,678,9,677,8,678,677,0,9
RNBC1_QLMSP4_tag11_B11,1555,301,301,21,297,18,301,297,0,21
RNBC1_QLMSP4_tag11_B12,1432,329,329,9,328,8,329,328,0,9
RNBC1_QLMSP4_tag11_B1,462,65,65,8,63,6,65,63,0,8
RNBC1_QLMSP4_tag11_B2,5467,745,745,9,744,8,745,744,0,11
RNBC1_QLMSP4_tag11_B3,3274,541,541,13,531,6,541,531,0,13
RNBC1_QLMSP4_tag11_B4,3286,545,545,8,538,3,545,538,0,8
RNBC1_QLMSP4_tag11_B5,3475,528,528,22,525,19,528,525,0,23
RNBC1_QLMSP4_tag11_B6,47,20,20,6,20,6,20,20,0,6
RNBC1_QLMSP4_tag11_B8,455,199,199,22,179,14,199,179,0,23
RNBC1_QLMSP4_tag11_B9,2908,527,527,15,519,7,527,519,0,15
RNBC1_QLMSP4_tag11_C11,2957,476,476,13,476,13,476,476,0,13
RNBC1_QLMSP4_tag11_C12,1737,388,388,9,386,7,388,386,0,9
RNBC1_QLMSP4_tag11_C1,36,16,16,10,16,10,16,16,0,10
RNBC1_QLMSP4_tag11_C2,1742,379,379,10,374,7,379,374,0,10
RNBC1_QLMSP4_tag11_C3,2519,475,475,9,475,9,475,475,0,10
RNBC1_QLMSP4_tag11_C4,2859,563,563,12,561,9,563,561,0,12
RNBC1_QLMSP4_tag11_C5,2092,385,385,9,385,9,385,385,0,9
RNBC1_QLMSP4_tag11_C6,8,6,6,5,5,4,6,5,0,5
RNBC1_QLMSP4_tag11_C7,753,121,121,15,102,11,121,102,0,16
RNBC1_QLMSP4_tag11_C8,2406,473,473,11,472,10,473,472,0,12
