,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP4_tag11_A12,4136,619,619,5,2,2,619,2,0,5
RNBC1_QLMSP4_tag11_A2,1905,403,403,3,1,1,403,1,0,3
RNBC1_QLMSP4_tag11_A3,910,353,353,38,6,4,353,6,0,38
RNBC1_QLMSP4_tag11_A5,571,170,170,9,5,3,170,5,0,10
RNBC1_QLMSP4_tag11_A6,3177,319,319,4,9,2,319,9,0,4
RNBC1_QLMSP4_tag11_A7,189,24,24,8,6,4,24,6,0,8
RNBC1_QLMSP4_tag11_A8,811,121,121,15,7,6,121,7,0,15
RNBC1_QLMSP4_tag11_B10,6427,678,678,9,6,6,678,6,0,9
RNBC1_QLMSP4_tag11_B11,1555,301,301,21,14,8,301,14,0,21
RNBC1_QLMSP4_tag11_B12,1432,329,329,9,3,3,329,3,0,9
RNBC1_QLMSP4_tag11_B1,462,65,65,8,13,4,65,13,0,8
RNBC1_QLMSP4_tag11_B2,5467,745,745,9,9,7,745,9,0,11
RNBC1_QLMSP4_tag11_B3,3274,541,541,13,9,3,541,9,0,13
RNBC1_QLMSP4_tag11_B4,3286,545,545,8,5,2,545,5,0,8
RNBC1_QLMSP4_tag11_B5,3475,528,528,22,14,10,528,14,0,23
RNBC1_QLMSP4_tag11_B6,47,20,20,6,11,5,20,11,0,6
RNBC1_QLMSP4_tag11_B8,455,199,199,22,8,7,199,8,0,22
RNBC1_QLMSP4_tag11_B9,2908,527,527,15,7,6,527,7,0,15
RNBC1_QLMSP4_tag11_C11,2957,476,476,13,9,7,476,9,0,13
RNBC1_QLMSP4_tag11_C12,1737,388,388,9,6,5,388,6,0,9
RNBC1_QLMSP4_tag11_C1,36,16,16,10,6,4,16,6,0,10
RNBC1_QLMSP4_tag11_C2,1742,379,379,10,7,6,379,7,0,10
RNBC1_QLMSP4_tag11_C3,2519,475,475,9,7,5,475,7,0,10
RNBC1_QLMSP4_tag11_C4,2859,563,563,12,8,4,563,8,0,12
RNBC1_QLMSP4_tag11_C5,2092,385,385,9,9,5,385,9,0,9
