"","Long","Lat","site","attitude","location"
"1","675300.222346318","3787294.05347201","L1","1512M","FX"
"2","675552.094017358","3786492.20388171","L2","1563M","FX"
"3","675706.919604642","3786001.40292348","L3","1603M","FX"
"4","675890.385260057","3785754.10629204","L4","1651M","FX"
"5","676016.59253196","3785611.13551718","L5","1671M","FX"
"6","676199.829695223","3785425.96822725","L6","1677M","FX"
"7","676265.076710768","3785289.62275255","L7","1686M","FX"
"8","676457.489584946","3785009.22061143","L8","1728M","FX"
"9","676486.983009013","3784813.40458075","L9","1746M","FX"
"10","676541.023492878","3784586.98575692","L10","1785M","FX"
"11","750299.228758986","3774479.17707992","L1","1309m","HPS"
"12","750208.083541995","3775187.18472954","L2","1120m","HPS"
"13","750433.396840097","3775165.41760502","L3","1138m","HPS"
"14","750149.369698152","3775137.52442031","L4","1136m","HPS"
"15","750127.407754268","3775037.03779318","L5","1149m","HPS"
"16","750163.947203102","3774936.25363242","L6","1167m","HPS"
"17","750037.793983829","3774875.55430028","L7","1174m","HPS"
"18","750049.230306172","3774792.60460587","L8","1198m","HPS"
"19","750114.733823553","3774644.48683259","L9","1255m","HPS"
"20","750196.262784498","3774646.65030124","L10","1202m","HPS"
"21","776200.886079508","3729524.83964289","L1","1468m","FP"
"22","776207.828104772","3729438.66436569","L2","1464m","FP"
"23","776255.296961939","3729366.75905449","L3","1439m","FP"
"24","776380.451526519","3729253.57524727","L4","1476m","FP"
"25","776431.611170472","3729243.61683936","L5","1495m","FP"
"26","776337.623486153","3729585.96225987","L6","1394m","FP"
"27","776508.84332459","3729590.90610697","L7","1404m","FP"
"28","776685.267339248","3729451.11828653","L8","1457.6m","FP"
"29","776786.617174843","3729214.23780987","L9","1514m","FP"
"30","776812.041669126","3729134.37000756","L10","1538.5m","FP"
"31","802075.277736618","3747531.94690441","L1","1564m","YHM"
"32","802093.478503441","3747639.87841014","L2","1552m","YHM"
"33","802132.235204441","3747635.55608408","L3","1517m","YHM"
"34","802164.659544267","3747684.70975205","L4","1503m","YHM"
"35","802214.368776234","3747773.28203859","L5","1471m","YHM"
"36","802229.640820823","3747827.44406453","L6","1461m","YHM"
"37","802240.769059718","3747914.79126127","L7","1436m","YHM"
"38","802332.302322176","3747951.01600424","L8","1420m","YHM"
"39","802436.547999516","3748024.66445983","L9","1386m","YHM"
"40","802581.106463259","3747947.81929065","L10","1384m","YHM"
"41","675446.745465608","3786746.07306963","centroid",NA,"FX"
"42","750170.184708164","3774803.65432367","centroid",NA,"HPS"
"43","776670.26874535","3729414.35538921","centroid",NA,"FP"
"44","802329.732789431","3747829.19905138","centroid",NA,"YHM"
