"seqname","location","trap","sizeclass","label","bodypart","nparts","plate_contents"
"RNMB_Foping_BS_P1_tag21_A1","Foping","FIT",3,"FP_MT_4-1_1+J2:J67","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B1","Foping","FIT",3,"FP_FIT3-1_2","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C1","Foping","FIT",3,"FP_FIT3-1_3","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D1","Foping","FIT",3,"FP_FIT3-1_4","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E1","Foping","FIT",3,"FP_FIT3-1_5","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F1","Foping","FIT",3,"FP_FIT3-1_6","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G1","Foping","FIT",3,"FP_FIT3-1_7","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H1","Foping","FIT",3,"FP_FIT3-1_8","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A2","Foping","FIT",3,"FP_FIT3-1_9","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B2","Foping","FIT",3,"FP_FIT3-1_10","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C2","Foping","FIT",3,"FP_FIT3-1_11","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D2","Foping","FIT",3,"FP_FIT3-1_12","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E2","Foping","FIT",3,"FP_FIT3-1_13","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F2","Foping","FIT",3,"FP_FIT3-1_14","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G2","Foping","FIT",3,"FP_FIT3-1_15","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H2","Foping","FIT",3,"FP_FIT3-1_16","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A3","Foping","FIT",3,"FP_FIT3-1_17","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B3","Foping","FIT",3,"FP_FIT3-1_18","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C3","Foping","FIT",3,"FP_FIT3-1_19","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D3","Foping","FIT",3,"FP_FIT3-1_20","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E3","Foping","FIT",3,"FP_FIT3-1_21","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F3","Foping","FIT",3,"FP_FIT3-1_22","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G3","Foping","FIT",3,"FP_FIT3-1_23","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H3","Foping","FIT",3,"FP_FIT3-1_24","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A4","Foping","FIT",3,"FP_FIT3-1_25","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B4","Foping","FIT",3,"FP_FIT3-1_26","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C4","Foping","FIT",3,"FP_FIT3-1_27","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D4","Foping","FIT",3,"FP_FIT3-1_28","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E4","Foping","FIT",3,"FP_FIT3-1_29","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F4","Foping","FIT",3,"FP_FIT3-1_30","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G4","Foping","FIT",3,"FP_FIT3-1_31","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H4","Foping","FIT",3,"FP_FIT3-1_32","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A5","Foping","FIT",3,"FP_FIT3-1_33","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B5","Foping","FIT",3,"FP_FIT3-1_34","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C5","Foping","FIT",3,"FP_FIT3-1_35","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D5","Foping","FIT",3,"FP_FIT3-1_36","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E5","Foping","FIT",3,"FP_FIT3-1_37","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F5","Foping","FIT",3,"FP_FIT3-1_38","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G5","Foping","FIT",3,"FP_FIT3-1_39","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H5","Foping","FIT",3,"FP_FIT3-1_40","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A6","Foping","FIT",3,"FP_FIT3-1_41","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B6","Foping","FIT",4,"FP_FIT4-2_1","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C6","Foping","FIT",4,"FP_FIT4-2_2","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D6","Foping","FIT",4,"FP_FIT4-2_3","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E6","Foping","FIT",4,"FP_FIT4-2_4","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F6","Foping","FIT",4,"FP_FIT4-2_5","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G6","Foping","FIT",4,"FP_FIT4-2_6","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H6","Foping","FIT",4,"FP_FIT4-2_7","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A7","Foping","FIT",4,"FP_FIT4-2_8","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B7","Foping","FIT",4,"FP_FIT4-2_9","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C7","Foping","FIT",4,"FP_FIT4-2_10","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D7","Foping","FIT",4,"FP_FIT4-2_11","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E7","Foping","FIT",4,"FP_FIT4-2_12","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F7","Foping","FIT",4,"FP_FIT4-2_13","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G7","Foping","FIT",4,"FP_FIT4-2_14","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H7","Foping","FIT",4,"FP_FIT4-2_15","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A8","Foping","FIT",4,"FP_FIT4-2_16","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B8","Foping","FIT",4,"FP_FIT4-2_17","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C8","Foping","FIT",4,"FP_FIT4-2_18","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D8","Foping","FIT",4,"FP_FIT4-2_19","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E8","Foping","FIT",4,"FP_FIT4-2_20","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F8","Foping","FIT",2,"FP_FIT2-1_3","leg",35,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G8","Foping","FIT",2,"FP_FIT2-1_4","head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H8","Foping","FIT",2,"FP_FIT2-1_1","leg",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A9","Foping","FIT",1,"FP_FIT1-1","leg",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B9","Foping","FIT",1,"FP_FIT1-2","leg",16,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C9","Foping","MT",4,"FP_MT_4-1_1","head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D9","Foping","L/N",2,"FP_L/N_2-1","leg",100,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E9","Foping","L/N",2,"FP_L/N_2-2","leg",69,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F9","Foping","Pit",1,"FP_Pit1-1","leg",17,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G9","Foping","Pit",1,"FP_Pit1-2","leg",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H9","Foping","Pit",2,"FP_Pit2-1","leg",44,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A10","Foping","Pit",3,"FP_Pit3-1","leg",101,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B10","Foping","Pit",4,"FP_Pit4-1_1","head",68,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C10","Foping","FIT",5,"FP_FIT5-1_1","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D10","Foping","FIT",5,"FP_FIT5-1_2","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E10","Foping","FIT",5,"FP_FIT5-1_3","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F10","Foping","FIT",5,"FP_FIT5-1_4","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G10","Foping","FIT",5,"FP_FIT5-1_5","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H10","Foping","FIT",5,"FP_FIT5-1_6","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A11","Foping","FIT",5,"FP_FIT5-1_7","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B11","Foping","FIT",5,"FP_FIT5-1_8","whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C11","Foping","FIT",5,"FP_FIT5-2_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D11","Foping","FIT",5,"FP_FIT5-2_2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E11","Foping","FIT",5,"FP_FIT5-2_3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F11","Foping","FIT",5,"FP_FIT5-2_4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G11","Foping","FIT",5,"FP_FIT5-2_5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H11","Foping","FIT",5,"FP_FIT5-2_6","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A12","Foping","FIT",5,"FP_FIT5-2_7","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B12","Foping","FIT",5,"FP_FIT5-1_8","whole body",50,"Foping samples only"
