name,freq,length,stop_codon,chime
uniq1,3010,418,0,False
uniq2,1901,418,0,False
uniq3,1882,418,0,False
uniq4,887,418,0,False
uniq5,737,418,0,False
uniq6,692,418,0,False
uniq7,669,418,0,False
uniq8,664,418,0,False
uniq9,550,418,0,False
uniq10,549,418,0,False
uniq11,549,418,0,False
uniq12,544,418,0,False
uniq13,488,418,0,False
uniq14,406,418,0,False
uniq15,390,418,0,False
uniq16,385,418,0,False
uniq17,380,418,0,False
uniq18,300,418,0,False
uniq19,293,418,0,False
uniq20,280,418,0,False
uniq21,276,418,0,False
uniq22,258,418,0,False
uniq23,257,418,0,False
uniq24,253,418,0,False
uniq25,242,418,0,False
uniq26,235,418,0,False
uniq27,228,418,0,False
uniq28,223,418,0,False
uniq29,223,418,0,False
uniq30,216,418,0,False
uniq31,210,418,0,False
uniq32,207,418,0,False
uniq33,203,418,0,False
uniq34,192,418,0,False
uniq35,191,418,0,False
uniq36,183,418,0,False
uniq37,180,418,0,False
uniq38,175,418,0,False
uniq39,172,145,0,False
uniq40,170,317,0,False
uniq41,158,418,0,False
uniq42,153,418,0,False
uniq43,148,418,0,False
uniq44,144,418,0,False
uniq45,142,418,0,False
uniq46,141,418,0,False
uniq47,140,418,0,False
uniq48,137,418,0,False
uniq49,135,418,0,False
uniq50,132,418,0,False
uniq51,131,418,0,False
uniq52,130,418,0,False
uniq53,122,418,0,False
uniq54,115,418,0,False
uniq55,113,418,0,False
uniq56,112,418,0,False
uniq57,108,418,0,False
uniq58,106,418,0,False
uniq59,104,418,0,False
uniq60,104,145,0,False
uniq61,102,418,0,False
uniq62,101,418,0,False
uniq63,98,418,0,False
uniq64,97,418,0,False
uniq65,94,418,0,False
uniq66,91,418,0,False
uniq67,88,418,0,False
uniq68,85,418,0,False
uniq69,84,418,0,False
uniq70,81,418,0,False
uniq71,79,418,0,False
uniq72,79,418,0,False
uniq73,76,418,0,False
uniq74,75,418,0,False
uniq75,75,418,0,False
uniq76,74,418,0,False
uniq77,74,418,0,False
uniq78,72,230,1,False
uniq79,72,418,0,False
uniq80,69,418,0,False
uniq81,68,418,1,False
uniq82,67,418,0,False
uniq83,65,418,0,False
uniq84,63,418,0,False
uniq85,62,418,0,False
uniq86,62,418,0,False
uniq87,60,418,0,False
uniq88,60,418,0,False
uniq89,60,418,0,False
uniq90,60,418,0,False
uniq91,58,418,0,False
uniq92,58,418,0,False
uniq93,58,418,0,False
uniq94,57,418,0,False
uniq95,56,418,0,False
uniq96,56,418,0,False
uniq97,56,418,0,False
uniq98,55,393,2,False
uniq99,54,418,0,False
uniq100,54,418,0,False
uniq101,54,418,0,False
uniq102,53,387,0,False
uniq103,53,418,0,False
uniq104,53,418,0,False
uniq105,52,418,0,False
uniq106,52,418,0,False
uniq107,51,418,0,False
uniq108,51,418,0,False
uniq109,51,278,2,False
uniq110,50,418,0,False
uniq111,49,418,0,False
uniq112,49,418,0,False
uniq113,49,418,0,False
uniq114,49,80,0,False
uniq115,48,418,0,False
uniq116,48,418,0,False
uniq117,47,418,0,False
uniq118,47,418,0,False
uniq119,47,418,0,False
uniq120,45,418,0,False
uniq121,45,145,0,False
uniq122,44,418,0,False
uniq123,44,418,0,False
uniq124,43,418,0,False
uniq125,42,418,0,False
uniq126,42,418,0,False
uniq127,42,418,0,False
uniq128,41,418,0,False
uniq129,40,418,0,False
uniq130,40,418,0,False
uniq131,38,418,0,False
uniq132,38,418,0,False
uniq133,38,84,0,False
uniq134,38,418,0,False
uniq135,37,418,0,False
uniq136,37,418,0,False
uniq137,37,418,0,False
uniq138,35,418,0,False
uniq139,35,418,0,False
uniq140,35,87,0,False
uniq141,34,418,0,False
uniq142,34,418,0,False
uniq143,34,418,0,False
uniq144,33,418,0,False
uniq145,33,418,0,False
uniq146,32,418,0,False
uniq147,31,418,0,False
uniq148,31,418,0,False
uniq149,31,418,0,False
uniq150,30,242,0,False
uniq151,29,418,0,False
uniq152,29,411,1,False
uniq153,29,418,0,False
uniq154,28,418,0,False
uniq155,28,418,0,False
uniq156,28,418,0,False
uniq157,28,418,1,False
uniq158,28,418,0,False
uniq159,27,418,0,False
uniq160,27,418,0,False
uniq161,27,418,0,False
uniq162,27,418,0,False
uniq163,26,418,0,False
uniq164,26,418,0,False
uniq165,26,73,0,False
uniq166,26,418,0,False
uniq167,26,418,0,False
uniq168,25,418,0,False
uniq169,25,418,0,False
uniq170,25,145,0,False
uniq171,25,418,0,False
uniq172,25,418,0,False
uniq173,25,418,0,False
uniq174,24,231,2,False
uniq175,24,418,0,True
uniq176,24,418,0,False
uniq177,24,418,0,False
uniq178,24,418,0,False
uniq179,24,76,0,False
uniq180,23,418,0,False
uniq181,23,418,0,False
uniq182,23,418,0,False
uniq183,23,418,0,False
uniq184,22,418,0,False
uniq185,22,375,0,False
uniq186,22,418,0,False
uniq187,22,415,0,False
uniq188,22,89,0,False
uniq189,22,145,0,False
uniq190,22,418,0,False
uniq191,22,418,0,False
uniq192,22,418,0,False
uniq193,21,145,0,False
uniq194,21,418,0,False
uniq195,21,418,0,False
uniq196,21,71,0,False
uniq197,20,418,0,False
uniq198,20,418,0,False
uniq199,19,418,0,False
uniq200,19,418,0,False
uniq201,19,418,0,False
uniq202,19,71,0,False
uniq203,19,418,0,False
uniq204,19,418,0,False
uniq205,19,418,0,True
uniq206,19,418,0,False
uniq207,19,418,0,True
uniq208,19,94,0,False
uniq209,18,418,0,False
uniq210,18,418,0,False
uniq211,18,418,0,False
uniq212,18,418,0,False
uniq213,18,71,0,False
uniq214,18,66,0,False
uniq215,18,84,0,False
uniq216,18,418,0,False
uniq217,18,101,1,False
uniq218,17,418,0,False
uniq219,17,418,0,False
uniq220,17,418,0,False
uniq221,17,418,0,False
uniq222,17,418,0,False
uniq223,17,418,0,False
uniq224,17,418,0,False
uniq225,17,418,0,False
uniq226,17,418,0,False
uniq227,16,417,0,False
uniq228,16,418,0,False
uniq229,16,418,0,False
uniq230,16,418,0,False
uniq231,16,418,0,False
uniq232,16,418,0,False
uniq233,16,418,0,False
uniq234,16,418,0,False
uniq235,16,418,0,False
uniq236,16,418,0,False
uniq237,15,418,0,True
uniq238,15,418,0,False
uniq239,15,418,0,False
uniq240,15,418,0,False
uniq241,15,63,0,False
uniq242,15,418,0,False
uniq243,15,418,0,False
uniq244,15,418,0,False
uniq245,14,418,0,False
uniq246,14,418,0,False
uniq247,14,418,0,False
uniq248,14,418,0,False
uniq249,14,393,2,False
uniq250,14,418,0,False
uniq251,14,418,0,False
uniq252,14,418,0,False
uniq253,14,225,1,False
uniq254,14,418,0,False
uniq255,14,418,0,False
uniq256,14,145,0,False
uniq257,14,418,0,False
uniq258,14,418,0,False
uniq259,13,411,1,False
uniq260,13,418,1,False
uniq261,13,418,0,False
uniq262,13,418,0,False
uniq263,13,417,0,False
uniq264,13,418,0,False
uniq265,13,418,0,False
uniq266,13,418,0,False
uniq267,13,418,0,False
uniq268,13,417,0,False
uniq269,13,418,0,False
uniq270,13,145,0,False
uniq271,13,418,0,False
uniq272,13,418,0,False
uniq273,13,418,0,False
uniq274,13,418,0,False
uniq275,13,418,0,False
uniq276,12,418,0,False
uniq277,12,418,0,False
uniq278,12,418,0,False
uniq279,12,418,0,False
uniq280,12,418,0,False
uniq281,12,418,0,False
uniq282,12,418,0,False
uniq283,12,418,0,False
uniq284,12,418,0,False
uniq285,12,418,0,False
uniq286,12,418,0,False
uniq287,12,418,0,False
uniq288,12,418,0,False
uniq289,12,418,0,False
uniq290,12,418,0,False
uniq291,11,418,0,False
uniq292,11,411,1,False
uniq293,11,393,2,False
uniq294,11,411,1,False
uniq295,11,418,0,False
uniq296,11,418,0,False
uniq297,11,418,0,False
uniq298,11,418,0,True
uniq299,11,418,0,False
uniq300,11,418,0,False
uniq301,11,418,0,False
uniq302,11,63,0,False
uniq303,11,418,0,False
uniq304,11,418,0,False
uniq305,11,418,0,False
uniq306,11,91,0,False
uniq307,11,418,0,False
uniq308,11,418,0,False
uniq309,10,418,0,False
uniq310,10,418,0,False
uniq311,10,364,0,False
uniq312,10,418,0,False
uniq313,10,415,0,False
uniq314,10,195,1,False
uniq315,10,418,0,False
uniq316,10,418,0,False
uniq317,10,418,0,False
uniq318,10,418,0,False
uniq319,10,418,0,False
uniq320,10,418,0,False
uniq321,10,418,0,True
uniq322,10,145,0,False
uniq323,10,418,0,False
uniq324,10,418,0,False
uniq325,10,418,0,False
uniq326,10,64,0,False
uniq327,10,418,0,False
uniq328,10,418,0,False
uniq329,10,418,0,False
uniq330,10,418,0,False
uniq331,10,418,0,False
uniq332,10,418,0,False
uniq333,9,231,3,False
uniq334,9,393,2,False
uniq335,9,418,0,False
uniq336,9,418,0,False
uniq337,9,418,0,False
uniq338,9,418,0,False
uniq339,9,418,0,False
uniq340,9,418,0,False
uniq341,9,418,0,False
uniq342,9,391,2,False
uniq343,9,418,0,True
uniq344,9,418,0,False
uniq345,9,418,0,False
uniq346,9,418,0,False
uniq347,9,418,0,False
uniq348,9,418,0,False
uniq349,9,225,1,False
uniq350,9,418,0,False
uniq351,9,418,0,False
uniq352,9,418,0,False
uniq353,9,96,1,False
uniq354,9,145,0,False
uniq355,9,419,0,False
uniq356,9,418,0,False
uniq357,9,418,0,False
uniq358,9,409,0,False
uniq359,9,75,1,False
uniq360,9,418,0,False
